 1   total words: 319,  unique words: 126
 2   total words: 409,  unique words: 274
 3   total words: 360,  unique words: 184
 4   total words: 455,  unique words: 207
 5   total words: 450,  unique words: 239
 6   total words: 349,  unique words: 138
 7   total words: 410,  unique words: 205
 8   total words: 301,  unique words: 167
 9   total words: 708,  unique words: 461
 10  total words: 495,  unique words: 281
 11  total words: 423,  unique words: 214
 12  total words: 283,  unique words: 125
 13  total words: 409,  unique words: 196
 14  total words: 234,  unique words: 92
 15  total words: 454,  unique words: 216
 16  total words: 424,  unique words: 159
 17  total words: 381,  unique words: 191
 18  total words: 762,  unique words: 402
 19  total words: 246,  unique words: 142
 20  total words: 506,  unique words: 215
 21  total words: 588,  unique words: 358
 22  total words: 276,  unique words: 134
 23  total words: 384,  unique words: 224
 24  total words: 307,  unique words: 143
 25  total words: 410,  unique words: 192
 26  total words: 439,  unique words: 216
 27  total words: 363,  unique words: 146
Processed all songs from the file: ../Tekstowo/songs/tekstowo_rap_generacja_10-03-23.json
rozbitych      : 4
roswell        : 4
przyciągania   : 4
class          : 3
moją           : 3
queen          : 3
film           : 3
złotych        : 3
ziemią         : 3
bujam          : 3
phone          : 3
call           : 3
blok           : 3
lets           : 3
mvp            : 3
czegoś         : 3
słabo          : 3
dupy           : 3
auta           : 3
klamka         : 3
andrzej        : 3
niech          : 3
praga          : 3
mówię          : 3
jego           : 3
czuć           : 3
widziałem      : 3
dm             : 3
y              : 3
tobie          : 3
jedzie         : 3
znaczy         : 3
możesz         : 3
piosenki       : 3
tamtą          : 3
lato           : 3
pokażę         : 3
zakochany      : 3
zagrało        : 3
żałość         : 3
przemieniłem   : 3
leciało        : 3
prowadzić      : 3
siano          : 3
rekrutuje      : 3
pacjentkę      : 3
liczyła        : 3
guap           : 3
kartkach       : 3
wyciął         : 3
las            : 3
kubku          : 3
nowe           : 3
ledwo          : 3
zdrowie        : 3
fali           : 3
rok            : 3
przychód       : 3
zostawiłem     : 3
prawie         : 3
planach        : 3
czołem         : 3
wcale          : 3
iga            : 3
jakiej         : 3
które          : 3
stały          : 3
tysiąc         : 3
lepsze         : 3
goni           : 3
lata           : 3
samo           : 3
wiele          : 3
mówią          : 3
dopiero        : 3
pewno          : 3
znajdę         : 3
setki          : 3
deski          : 3
myślę          : 3
innym          : 3
main           : 3
stage          : 3
poradzą        : 3
dał            : 3
art            : 3
brut           : 3
taką           : 3
słów           : 3
leci           : 3
robią          : 3
x              : 3
temat          : 3
janek          : 3
porębski       : 3
szcześniak     : 3
wierzę         : 3
będziesz       : 3
płuca          : 3
fan            : 3
broke          : 3
is             : 3
fame           : 3
dwie           : 3
man            : 3
quick          : 3
ręki           : 3
widać          : 3
piszę          : 3
bezpiecznie    : 3
zostawię       : 3
chodzę         : 3
kółko          : 3
lustro         : 3
przyszła       : 3
rano           : 3
lodówki        : 3
butle          : 3
kurwy          : 3
wybaczam       : 3
spodnie        : 3
stale          : 3
gramy          : 3
pytaj          : 3
którą          : 3
you            : 3
główne         : 3
takie          : 3
gotów          : 3
bardziej       : 3
tę             : 3
wiemy          : 3
puchar         : 3
wieniec        : 3
wątpił         : 3
zdobędziemy    : 3
grand          : 3
prix           : 3
poza           : 3
całe           : 3
mówiła         : 3
jedyna         : 3
przecież       : 3
walki          : 3
bandura        : 3
niе            : 3
suki           : 3
wasze          : 3
naprawdę       : 3
inną           : 3
wychował       : 3
słowa          : 3
chciałbym      : 3
byli           : 3
era            : 3
osiem          : 3
źle            : 3
fr             : 3
jebanym        : 3
warszawa       : 3
koksie         : 3
konto          : 3
banku          : 3
sprite         : 3
łykam          : 3
szampana       : 3
purple         : 3
haze           : 3
szamana        : 3
marihuana      : 3
opętała        : 3
dragi          : 3
supermarket    : 3
celly          : 3
zamieniłem     : 3
światło        : 3
terapię        : 3
każdej         : 3
bitch          : 3
jedno          : 3
dupeczki       : 3
dam            : 3
motylka        : 3
dłoń           : 3
błyszczał      : 3
metalowy       : 3
serca          : 3
połknij        : 3
zwróć          : 3
ey             : 3
zejść          : 3
legalną        : 3
sens           : 3
pow            : 3
trzecia        : 3
znajomy        : 3
kod            : 3
podłoga        : 3
klei           : 3
codeine        : 3
pakować        : 3
pocałować      : 3
błędzie        : 3
zdobędziesz    : 3
wejdziesz      : 3
pozerów        : 3
