 1   total words: 465,  unique words: 283
 2   total words: 875,  unique words: 466
 3   total words: 627,  unique words: 352
 4   total words: 605,  unique words: 284
 5   total words: 410,  unique words: 250
 6   total words: 625,  unique words: 367
 7   total words: 570,  unique words: 249
 8   total words: 817,  unique words: 322
 9   total words: 496,  unique words: 344
 10  total words: 499,  unique words: 223
 11  total words: 1108,  unique words: 689
 12  total words: 545,  unique words: 283
 13  total words: 751,  unique words: 401
 14  total words: 436,  unique words: 243
 15  total words: 781,  unique words: 397
 16  total words: 385,  unique words: 243
 17  total words: 550,  unique words: 333
 18  total words: 894,  unique words: 380
 19  total words: 235,  unique words: 189
 20  total words: 569,  unique words: 255
 21  total words: 316,  unique words: 180
 22  total words: 547,  unique words: 340
 23  total words: 583,  unique words: 366
 24  total words: 492,  unique words: 303
 25  total words: 1000,  unique words: 499
 26  total words: 410,  unique words: 253
 27  total words: 259,  unique words: 151
 28  total words: 389,  unique words: 232
 29  total words: 575,  unique words: 283
 30  total words: 576,  unique words: 379
 31  total words: 576,  unique words: 307
 32  total words: 468,  unique words: 272
 33  total words: 281,  unique words: 212
 34  total words: 352,  unique words: 151
 35  total words: 632,  unique words: 276
 36  total words: 372,  unique words: 194
 37  total words: 456,  unique words: 302
 38  total words: 378,  unique words: 218
 39  total words: 326,  unique words: 163
 40  total words: 452,  unique words: 234
užarenom       : 4
odrasli        : 4
našli          : 4
promjene       : 4
nekak          : 4
snašli         : 4
pronašli       : 4
debila         : 4
curice         : 4
znate          : 4
spiku          : 4
budi           : 4
aha            : 4
svojim         : 4
sreću          : 4
trala          : 4
roka           : 4
jebeno         : 4
b              : 4
pozdrav        : 4
fake           : 4
tog            : 4
pun            : 4
mojoj          : 4
strani         : 4
huligani       : 4
mališani       : 4
gotovo         : 4
davno          : 4
djevojke       : 4
tijelo         : 4
moreno         : 4
dugo           : 4
ljeno          : 4
ćemo           : 4
psu            : 4
rakija         : 4
vidi           : 4
mjesta         : 4
novo           : 4
najbolji       : 4
faca           : 4
kung           : 4
ce             : 4
king           : 4
mile           : 4
nikog          : 4
gad            : 4
novci          : 4
moju           : 4
dobila         : 4
gandža         : 4
roleri         : 4
come           : 4
out            : 4
dabar          : 4
jazu           : 4
gladan         : 4
sin            : 4
dobiću         : 4
dečka          : 4
prvog          : 4
izrezat        : 4
nožem          : 4
međunarodni    : 4
izazvat        : 4
tuču           : 4
curu           : 4
ba             : 4
odjednom       : 4
prestaje       : 4
bolesne        : 4
braće          : 4
restoran       : 4
jelo           : 4
stihi          : 4
gaga           : 4
znoj           : 4
lutam          : 4
davnina        : 4
pričali        : 4
pokraj         : 4
kamina         : 4
gora           : 4
planina        : 4
pšššššš        : 4
mlada          : 3
nigdje         : 3
shatro         : 3
nemas          : 3
sice           : 3
hodas          : 3
htjela         : 3
hrpu           : 3
vide           : 3
evo            : 3
zaboravi       : 3
zlata          : 3
10             : 3
svraka         : 3
frajer         : 3
možemo         : 3
niš            : 3
šet            : 3
hod            : 3
moraš          : 3
fakat          : 3
bježe          : 3
bahati         : 3
svakom         : 3
hoćeš          : 3
ipak           : 3
reć            : 3
mladosti       : 3
proć           : 3
gotiva         : 3
metak          : 3
velike         : 3
ideš           : 3
školu          : 3
sistem         : 3
hoće           : 3
ganja          : 3
bedu           : 3
noći           : 3
čuo            : 3
vodu           : 3
uglavnom       : 3
non            : 3
stop           : 3
svom           : 3
iste           : 3
čut            : 3
stila          : 3
neku           : 3
uživo          : 3
posto          : 3
kojeg          : 3
tada           : 3
loto           : 3
svojoj         : 3
vrste          : 3
krste          : 3
tražit         : 3
predstavim     : 3
tjedan         : 3
žedan          : 3
lažu           : 3
čuje           : 3
djeci          : 3
album          : 3
bajke          : 3
majke          : 3
majka          : 3
skače          : 3
urokan         : 3
troše          : 3
budu           : 3
starta         : 3
nikada         : 3
nećeš          : 3
znati          : 3
prvo           : 3
piće           : 3
velikane       : 3
lovi           : 3
kruh           : 3
ostale         : 3
traje          : 3
smeta          : 3
krao           : 3
doš            : 3
iš             : 3
pišam          : 3
prstom         : 3
moli           : 3
rane           : 3
jebene         : 3
albuma         : 3
priznat        : 3
rodno          : 3
kartu          : 3
kuna           : 3
bogu           : 3
sela           : 3
kurvi          : 3
kupio          : 3
jedem          : 3
laj            : 3
kafiću         : 3
čuvaj          : 3
kvari          : 3
malog          : 3
uzimam         : 3
kluba          : 3
rola           : 3
tko            : 3
poslove        : 3
pustite        : 3
moć            : 3
vičite         : 3
repat          : 3
marca          : 3
dođem          : 3
grupa          : 3
zg             : 3
mesa           : 3
džep           : 3
cestu          : 3
rolamo         : 3
kune           : 3
kralja         : 3
osobe          : 3
krade          : 3
nemaju         : 3
zatvora        : 3
žiku           : 3
dobrog         : 3
fino           : 3
stigla         : 3
dane           : 3
budale         : 3
histerija      : 3
svirat         : 3
jaja           : 3
osmijeh        : 3
suza           : 3
dug            : 3
muka           : 3
balkanezi      : 3
zvat           : 3
pomoć          : 3
gada           : 3
lakše          : 3
bože           : 3
bolesna        : 3
guzica         : 3
jednog         : 3
staroj         : 3
rizle          : 3
uleti          : 3
curi           : 3
stiže          : 3
love           : 3
čiča           : 3
likovi         : 3
pijani         : 3
cuga           : 3
odvedi         : 3
netko          : 3
slini          : 3
stol           : 3
vadi           : 3
slušaj         : 3
ta             : 3
curica         : 3
šumi           : 3
baba           : 3
bbb            : 3
pred           : 3
očima          : 3
leti           : 3
nebo           : 3
ekipu          : 3
linija         : 3
daska          : 3
ulica          : 3
neš            : 3
likove         : 3
vanka          : 3
vadim          : 3
top            : 3
večeras        : 3
banke          : 3
cijev          : 3
veliki         : 3
sveti          : 3
živimo         : 3
grad           : 3
vlada          : 3
čovjek         : 3
licu           : 3
režem          : 3
ubijam         : 3
trag           : 3
rimama         : 3
pjevat         : 3
nose           : 3
šire           : 3
loš            : 3
pale           : 3
vrućinu        : 3
svih           : 3
društvo        : 3
drogama        : 3
dolaze         : 3
vrućine        : 3
crno           : 3
njim           : 3
stojim         : 3
bojim          : 3
postojim       : 3
uhvate         : 3
pali           : 3
jebena         : 3
cugu           : 3
upozn          : 3
ljeta          : 3
sanj           : 3
ispričat       : 3
priču          : 3
kruha          : 3
smeće          : 3
puni           : 3
isp            : 3
triša          : 3
utoke          : 3
vruće          : 3
brij           : 3
opasno         : 3
dobri          : 3
tozla          : 3
piva           : 3
imat           : 3
mrzi           : 3
dal            : 3
grama          : 3
crni           : 3
platit         : 3
slobodno       : 3
spremni        : 3
rat            : 3
boom           : 3
jedini         : 3
tvrde          : 3
gazi           : 3
zgrade         : 3
lao            : 3
kong           : 3
jumbo          : 3
stanju         : 3
plaču          : 3
droga          : 3
svoju          : 3
onih           : 3
čuč            : 3
sira           : 3
ost            : 3
konobar        : 3
popijem        : 3
rolaj          : 3
knjige         : 3
radio          : 3
dom            : 3
dodji          : 3
vinkovce       : 3
hrvatske       : 3
slike          : 3
kraju          : 3
ljepse         : 3
stoji          : 3
jedanajsticu   : 3
šest           : 3
dala           : 3
naći           : 3
laži           : 3
šipu           : 3
sluša          : 3
hahahahaha     : 3
frula          : 3
sviramo        : 3
lulu           : 3
sred           : 3
špica          : 3
veze           : 3
zeka           : 3
obitelj        : 3
guši           : 3
guta           : 3
1              : 3
lito           : 3
troje          : 3
dice           : 3
pita           : 3
vojko          : 3
čim            : 3
opa            : 3
skini          : 3
pizza          : 3
picu           : 3
pored          : 3
cenera         : 3
verse          : 3
vaš            : 3
nosim          : 3
riješin        : 3
cviće          : 3
čekan          : 3
stavin         : 3
rizlu          : 3
drotovi        : 3
blizu          : 3
odbijan        : 3
net            : 3
banu           : 3
mamuti         : 3
jasno          : 3
dođu           : 3
filozofije     : 3
no             : 3
školjke        : 3
žuri           : 3
vama           : 3
drug           : 3
kriti          : 3
šume           : 3
